translation,selected_choice
可是月亮又升起来了，花影又重重叠叠出现了。,却教明月送将来
柳村上白絮漾漾。,柳外都成絮
但见到此情此景我还是有些伤感。,因见古人情
我吩咐家人用华贵的茶具去煎这难得的奇茶。,呼儿爨金鼎
九月时节我在交河北岸给你送别。,送君九月交河北
浓绿的背景上点缀一朵红花，画面顿时变得活泼而妖艳。,浓绿万枝红一点
早就谈起过世外的情事。,夙语尘外事
我就像那绕树飞鸣的乌鹊，找不到个栖息的地方。,但知绕树如飞鹊
却带着羞怯不肯踏足。,含羞未肯前
谁能替我去求问佛祖？,谁与问空王
家底太薄只有陈酒招待。,樽酒家贫只旧醅
昔日，我可以凭借词语凿穿时代的黑井，痛饮山河甘洌，而今却只能在回忆中围拢水源，抚摸它岑寂的微光。,彩笔昔曾干气象，白头吟望苦低垂。
经过千场放纵赌博后家里仍富。,千场纵博家仍富
喝醉酒后还穿着金甲起舞。,醉和金甲舞
哪里能因为自己无斗米之储而悲哀呢。,焉能悲斗储
你到南岳衡山去寻仙。,寻仙向南岳
牧童吹着短笛穿衣在水中洗浴。,牧童吹笛和衣浴
在沉香亭北君王贵妃双双倚靠着栏杆。,沉香亭北倚阑干
却只能面带苦笑看着自己的武器。,含笑看吴钩
他国的烦劳远多余清闲。,烦劳殊清闲
登高山，这与传统的习俗是一样的。,登高会昔闻
唱一首离歌，不禁泪流满面。,一曲离歌两行泪
西庵所居住的智老精于禅学，但病魔缠身。,西庵禅伯还多病
明镜中先看到自己的衰老容颜。,清镜览衰颜
在晚年遇到了您二位像崔州平和崔瑗这样的朋友。,晚途值子玉
沿着潇水投奔零陵。,沿流此投迹
到老了后悔读书少就太迟了。,白首方悔读书迟
柳絮飞扬的池塘边，我们曾相偎着，在微风里倾吐着情衷。,柳絮池塘淡淡风
此刻长安城中清晓闻钟令我回忆起他所在的西峰佛寺来。,帝城钟晓忆西峰
自由自在地在南北岸之间飞翔。,北去南来自在飞
彼此像南北流走互不相见的浮云。,南云北云空脉断
每天都在遥望故乡。,日日望乡国
茫茫江水在夕阳下荡漾。,平海夕漫漫
臣民君王思归顺。,无思不服从
素不惯于与胡人打仗。,斩虏素不闲
只留下空荡荡的黄鹤楼。,此地空余黄鹤楼
如今万乘銮驾行出黄道，从回中返驾回宫中了，有千骑打着彩旗开道。,万乘出黄道，千骑扬彩虹。
但是红梅的枝条还是保持了孤独而细瘦的样子，呈现出经受霜雪考验后仍然劲挺的姿态。,尚余孤瘦雪霜姿
自从萧关一战后。,一自萧关起战尘
记得那年你我离别的时候。,那年离别日
寒鸦本已栖息也被这声响惊起。,寒鸦栖复惊
柳絮为了依靠它的纤质越过这清镜似的池塘。,为将纤质凌清镜
它不断虚声好似纺绩，空鸣叫哪能有功成？,虚织竟何成
似乎在把天气的阴晴酝酿。,来往议阴晴
抬头望月，明月在天，白云缭绕，于是有感而凭吊湘娥。,白云明月吊湘娥
淡淡的清香也不再引起路人欣赏的兴趣了。,不堪翠减红销际
都说戍边战士的意气高。,咸言意气高
我的壮心并没有同年岁一起衰老消亡。,壮心未与年俱老
这里的山色好似春天的云彩那样浓厚，又好似薄烟轻淡，参差不齐的树影映在江面上。,浓似春云淡似烟，参差绿到大江边。
心情郁郁难以倾诉啊。,情沉抑而不达兮
风吹槲叶烟雾迷漫。,风驱槲叶烟
从睡梦中醒来，微启惺松的双眼，只见窗栊在朦胧的月色下，富有韵律，耳边隐隐也听到城墙角楼上传来的风铃叮当声。,寂历帘栊深夜明，睡回清梦戍墙铃。
哎，我的一生老是忧愁不安，这清丽的境界，也只能是转眼过去，留作他年回想。,此生忽忽忧患里，清境过眼能须臾。
回头看那一起生活过的故乡。,还顾望旧乡
住在旅馆中并无好的旅伴。,旅馆无良伴
消逝在远方的夜空。,山带秋阴树影空
敬亭山上回首南望。,敬亭一回首
一见邢夫人就自叹不如。,羞见邢夫人
闺房之中不见了张敞画眉。,走马台边人不见
两岸的春花开而复落。,岸花开且落
戎马匆匆里，又一个春天来临。,匆匆马上又逢春
仍是和昔日宫女们罗裙一样的绿色。,犹带罗裙色
强迫供应食宿不敢有私藏。,驱令供顿不敢藏
写就新诗，忽闻传来吴音吟咏，又勾起了我前几年泛舟江南的回忆，心情久久不能平静。,诗罢闻吴咏
可是塞外仍然是大风凛冽、尘沙满天，冷酷严寒。,塞外风沙犹自寒
您问我离愁别恨今有多少。,问余别恨今多少
风云际会，天张云卷是有天数的，你们别叹息我现在处于进退两难之地。,天张云卷有时节，吾徒莫叹羝触藩。
柳絮落满河边，令人惊奇，以为是雪，一场春雨，使水涨满了溪边的麦田。,柳花惊雪浦，麦雨涨溪田。
一生胸襟不曾片刻展开。,一生襟抱未曾开
新春时节，我穿着白夹衣，怅然地卧在床上。,怅卧新春白袷衣
人人都把艾草挂满腰间。,户服艾以盈要兮
不理会石上的喧闹纷乱。,那知石上喧
我听说，大丈夫看重节操骨气，古人能做到失败三次也不泄气。,吾闻壮夫重心骨，古人三走无摧捽。
弯曲缠绕古城壁。,萦回古城曲
你只要能来就请常来玩。,君但能来相往还
虽然勤勉明知是无可奈何。,虽勤知奈何
农业丰收，粮食储备充足。,稻米流脂粟米白
别可惜船只，拿它沽来美酒，咱们一船一船地喝，为买春芳，咱们千金一掷不为多。,莫惜连船沽美酒，千金一掷买春芳。
房主荀媪给我端来菰米饭。,跪进雕胡饭
客游千里追名之心早已厌倦。,客心千里倦
才华盖世你却容颜憔悴。,斯人独憔悴
到闽中大概很少见到远旅雁阵。,大都秋雁少
拂不去的杨花，飘飘扑来偎人依傍。,袖拂杨花去却来
将自己装扮得很艳丽。,冶容多姿鬓
在花丛前赏花常被美女问。,花前每被青蛾问
不见舞妓，倒有比舞妓细腰更柔软的柳条。,柳断舞儿腰
它在这块雪地上留下一些爪印，正是偶然的事，因为鸿鹄的飞东飞西根本就没有一定。,泥上偶然留指爪，鸿飞那复计东西。
夜暮了，还飞进延秋门上叫哇哇。,夜飞延秋门上呼
阵阵轻雷响彻荷花池塘内外。,芙蓉塘外有轻雷
才智压倒了那荆门的屈原、宋玉，也可以令梁园的邹阳和枚乘倾倒。,荆门倒屈宋，梁苑倾邹枚。
战士们歼灭了敌军，擒获了敌酋，把绳子套在他们颈上带回来献给天子。,尽系名王颈，归来报天子。
想起去年我和您依依惜别之地。,去年相送地
羌笛之声如龙吟出水。,笛奏龙吟水
终于使八方安定，四海升平了。,垂衣驭八荒
渤海上船只鼓帆前进。,云帆转辽海
真的能到新州有饭可吃。,端能饱吃新州饭
准备好好地犒劳自己未来的丈夫。,倾心酒美尽玉碗
我不是感觉不到伤筋碎骨的痛苦，只是希望能够在选征兵丁时被淘汰，从而留在家乡。,骨碎筋伤非不苦，且图拣退归乡土。
吴起劝谏，修德第一。,敌国舟中非所拟
长安城头，伫立着一只白头乌鸦。,长安城头头白乌
新丰美酒一斗价值十千钱。,新丰美酒斗十千
请玉笛不要再吹奏那令人伤感的古曲《梅花三弄》了，让主宰春天的神东君为梅花留住春天，不要让开在早春的梅花因一支悲伤曲调而过早地凋谢。,玉笛休三弄，东君正主张。
惠帝登基后，晋朝终于陷入了一片混乱之中。,惠皇终已昏
黄泉渺茫昏暗能够知晓吗？,夜台茫昧得知不
我跟岸边的杨柳都互相熟识了．眼前的云山执着地把我挽留。,岸傍杨柳都相识，眼底云山苦见留。
我问他右臂折断有多久了。,问翁臂折来几年
金黄的芦苇铺满江岸，白色的蘋花飘荡在渡口。,黄芦岸白蘋渡口
棉被冰冷简直无法挨身。,寒衾不可亲
柳树的青色却是让人伤心的颜色。,青青一树伤心色
战场上白骨还缠着草根。,战场白骨缠草根
有如咱张公子。,有如张公子
那传说中的东海六鳌，已早成了如霜的白骨，那海上的三神山如今已漂流到哪里去了？,六鳌骨已霜，三山流安在？
一条小溪由几户人家共享同分。,一渠流水数家分
很羡慕您能够先我而行。,先归独羡君
祢衡才高为什么得不到施展。,才高竟何施
喝口壶中酒，聊以解渴。,渴饮壶中酒
表达情意，只怕你没有眼力识别。,怕君著眼未分明
整条酒船给喝个精光，十年的青春岁月，总算没有虚度。,觥船一棹百分空，十岁青春不负公。
何必用羌笛吹起那哀怨的杨柳曲去埋怨春光迟迟不来呢。,羌笛何须怨杨柳
春风中回首往事泪下沾巾。,春风回首一沾巾
一曲结束仍是痴痴仰视青海明月。,曲罢不知青海月
言辞严谨内容奥密难于理解。,辞严义密读难晓
八月里月光明媚摇荡着清澈的江水。,寒蟾八月荡瑶海
在露水下滴，月上中天的夏夜。,露华滴沥月上天
谁知这条寂静的竹西路。,谁知竹西路
但愿能永远尽情漫游。,永结无情游
对故乡的思念重又萦绕心头。,重以桑梓念
你走之后，我就与与白云青山为伴，专心潜心著述。,从此草玄应有处，白云青嶂一相招。
兄弟之间的情谊只有在急难中才能深厚，才能成为相知，如果只是自己一个人又有什么好处呢？,相知在急难，独好亦何益。
读尽了诗书，你毫无腐儒的酸气。,读书不作儒生酸
竟使边塞的烽火照亮了甘泉行宫。,坐使甘泉照夕烽
共同举杯祭奠唐尧时代的巢父，许由。,举觞酹巢由
于忠肃的功绩可与日月同辉，岳武穆曾经保住了宋朝半壁江山，朝廷给他在西湖边建了祠庙。,日月双悬于氏墓，乾坤半壁岳家祠。
毁坏无数人家的居住地只为了修建一个花池。,破却千家作一池
拉上小孩子寻找新开的菊花。,携幼寻新菂
游说万乘之君已苦于时间不早。,游说万乘苦不早
看向窗外，风中的乱草不知落向何方。,乡看秋草归无路
身居异域在那阴山西面。,异域阴山外
娥皇女英死后云势盛大翻动。,二妃没后云溶溶
人也是这样，只有通过学习，才能掌握知识。,人学始知道
夕阳依傍着山峦渐渐下落。,白日依山尽
在对方眼里都是完美无缺的，男赛潘安，女赛西施。,情人眼里出西施
要农民广栽桑树养蚕缫丝。,更索栽桑树
流传在人间的。,流落人间者
枫树在深秋露水的侵蚀下逐渐凋零、残伤，巫山和巫峡也笼罩在萧瑟阴森的迷雾中。,玉露凋伤枫树林，巫山巫峡气萧森。
还要使田光先生有怀疑？,尚使田生疑
但帘中窥望的人离我已远。,但窥帘人远
孟郊正等待朝廷任命新职。,东野不得官
这样的乐曲只应该天上有。,此曲只应天上有
绿色的叶子、青色的花萼映衬着红彤彤的花朵，伴随着我和你慢慢登上了金碧辉煌的楼阁。,绿叶青跗映丹萼，与君裴回上金阁。
老元啊，你怎么丢弃天下苍生的愿望。,忽遗苍生望
真是可笑啊，没事就这样喝喝酒多好！,傲尔令自哂
贾女隔帘窥韩寿，是爱他年轻貌美。,贾氏窥帘韩掾少
只能空度这凉风飒飒的秋天。,又惜空度凉风天
然后就可以高枕无忧呢？,然后方高枕
您光明磊落，不肯趋附权贵，因而被迫客居他乡担任一个小官。,耿介挹三事，羁离从一官。
徒然地怀想起东晋谢尚将军。,空忆谢将军
江风吹洒细雨带给小船凄凉。,江风引雨入舟凉
曲调中听起来会伤心地想到南朝陈后主。,伤心忆得陈后主
古时有一个狂夫，他披头散发大清早便冲出门去，要徒步渡河。,被发之叟狂而痴，清晨临流欲奚为。
在边地的月光下吹奏出悲壮的画角声。,画角悲海月
去年首经路过胡城县城。,去岁曾经此县城
神母也会吓得嗷嗷大哭。,嗷嗷鬼母秋郊哭
很多小小的流水汇合流淌在两山间。,野水合诸涧
昆明春水当已涨满。,昆明当欲满
老树的枝头伸出墙外面。,树老出墙根
一阵疾风把雨云吹垮，明净的江面上飘着绚丽的晚霞。,疾风回雨水明霞
长衫白胜雪还把犀牛皮带紧束。,长衫刺雪生犀束
柳江河畔双垂泪，兄弟涕泣依依情。,双垂别泪越江边
人就愈加喜爱，要想飞出鸟笼就更难了。,语得分明出转难
心却有灵犀一点息息相通。,心有灵犀一点通
山峦云雾苍苍远望反更迷离。,山霭苍苍望转迷
好象天空悬挂的明镜。,皎镜涵空天
抱着琴瑟看月亮。,斜抱云和深见月
冬季的三个月就跟着塾师学习。,三冬暂就儒生学
革除弊政要剪除朝中奸佞。,涤瑕荡垢清朝班
他们看到我就不给我好脸色看。,看吾即貌哨
天气已凉却还未到寒冷时候。,已凉天气未寒时
据说是去年离开舂陵。,去岁别舂陵
床帐之上垂着同心结。,横垂宝幄同心结
那朝廷上的党争，即便是难用之材也怕搜林之斧，疲惫的战马希望听到收兵的号令。,散材畏见搜林斧，疲马思闻卷旆钲。
她弹熟了琵琶能歌善舞。,惯弹琵琶解歌舞
有如野鹿呦呦鸣叫堂下。,野鹿呦呦走堂下
正是射杀天狼----骚乱的北方少数民族的时候。,天狼正可射
什么时候皇帝才能下诏重现金钱会的盛况。,何时诏此金钱会
秋日炎炎久旱不雨耽误了农事。,骄阳愆岁事
后去朝拜君王面。,后见君王面
海燕飞来，成对成双地栖息于华丽的屋梁之上。,海燕双栖玳瑁梁
晓行要经过许多残破的营垒。,晓月过残垒
今日她却被诏拿入狱。,身被诏狱加
邀您我吹笙作乐。,邀我吹玉笙
五色的狮子是老胡犬，九苞的凤凰是老胡的鸡，鸡鸣狮舞在帝乡。,是老胡鸡犬，鸣舞飞帝乡。
你的文章都是文采华美，新出的诗篇如玉屑一样精美，语句清平而深刻。,新诗如玉屑，出语便清警。
衡山地处荒远多妖魔鬼怪。,火维地荒足妖怪
那镶玉的剑，角饰的弓。,玉靶角弓珠勒马
手攀橘柚枝条叹息什么呢。,攀条何所叹
趁此春宵要及时行乐。,行乐须及春
夜雨中一盏昏灯唤取思乡的心。,一灯夜雨故乡心
你终于想起改变自己的游荡生活，要争取功名。,发愤去函谷
永乐公主嫁到塞外，有如美人从天而落，应该使这苦寒之地开始有那美丽的春光了。,美人天上落，龙塞始应春。
山川，江河依旧。,江山不管兴亡事
秋天离别时两相顾盼，像飞蓬一样到处飘荡。,秋来相顾尚飘蓬
有谁知道我这万里行客。,谁知万里客
相伴的白云不知何时飘去。,白云何时去
要吹羌管不禁泪涟涟。,欲吹羌管先汍澜
还是早点腾达好，羞比姜太公那个垂钓翁，八十多岁才与文王相逢。,早达胜晚遇，羞比垂钓翁。
相思入骨你是否知道？,入骨相思知不知
迟归的大雁也早已飞到遥远的天边去了。,归雁天边去
他去了留下我在江口孤守空船。,去来江口守空船
向东望去，那春天的景色十分可爱。,东望望春春可怜
琴中弹出古人乐曲。,能含古人曲
回家的路上连山叠嶂遥远无际。,连山去无际
互相娱乐也无需弦匏。,取乐非弦匏
艰危时局，气节弥坚。,艰危气益增
杨玉环随李隆基流亡蜀中，途经马嵬驿，禁军哗变，玄宗无奈，只得下令38岁的杨贵妃自缢。,贵妃胡旋惑君心
遭贬被弃可不同于隐逸。,谪弃殊隐沦
清水渺渺呵，下是浩浩汤汤的波澜。,下有渌水之波澜
桑树在太阳的照耀下生机昂然。,日色明桑枝
旗帜上绘有蛟龙图案。,蛟龙盘画旗
江的上空不时有淡淡的烟云荡过，不时还夹杂着稀疏细雨，当云过雨收之际，一轮夕阳把金灿灿的阳光撒在湖面上。,澹烟疏雨间斜阳
王山人剖析仙道的高论。,王子析道论
当年那位姓王的中书令。,当年王中令
我的魂魄追随着从南方向北奋飞的鸟儿，望着那向北而开的花枝，眼泪为之流不止。,魂随南翥鸟，泪尽北枝花。
个个都变成丑妇。,化为嫫母姿
山峰挺拔峭立，晨光中，山上处处一片青绿。,山长晓岫青
只是楼台倒塌，到处长满繁盛的庄稼。,台倾禾黍繁
喜鹊飞立墙头欢叫羽毛依然浇湿。,墙头语鹊衣犹湿
伤心那前朝庾开府庾信，可怜那南朝的庾开府，到老来却做了北朝的大臣。,伤心庾开府，老作北朝臣。
东风将你剪裁的如此美丽。,剪裁偏得东风意
此心愁绝，怎么忍心听？,骊歌愁绝不忍听
越是肚子饿越要处处小心。,饥至益逡巡
然而却习不得那阵阵幽香。,难学是生香
飘然登上峰顶赏玩紫霞。,泠然紫霞赏
焦谷上依然没有新生出小芽。,焦谷无新颖
空留布机斜倚壁。,机杼空倚壁
种田郎荷锄听采菱女唱歌。,郎听采菱女
都说瑞雪兆丰年。,尽道丰年瑞
外间童子见天色微明，便打开房门，不想夜来大雪，只见一片银白，门前的松树也披满雪。,童子开门雪满松
在曲江林苑往年不可回忆。,下苑他年未可追
陇水悄无声息地凝冻成了冰导致难以畅流。,陇水无声冻不流
南风自古以来都在一刻不停的呼啸。,南风昔不竞
蔬菜水果希望大家尽管品尝。,蔬果幸见尝
可感觉要回到那里却比登天还难。,杳在碧云间
钗环插满在发丝丛中。,环钗漫篸绿丝丛
闲静下来时就坐在席子上弹弹琴。,静拂琴床席
贾至啊，汉朝著名的洛阳才子贾谊是你本家吧？都是被贬到湘江；李晔啊，你我的本家，后汉的李膺也是贬到湖南，喜欢月下泛舟。,洛阳才子谪湘川，元礼同舟月下仙。
在母亲坟墓前祭奠几滴白酒，止不住泪水流了下来，再也听不到母亲叮嘱我早早回家的声音了。,林间滴酒空垂泪，不见丁宁嘱早归。
家家杀牛备酒犒劳军队。,家家牛酒犒王师
一轮弯月照人间，多少人家欢乐，又有多少人家忧愁。,月儿弯弯照九州，几家欢乐几家愁。
回想起往日在家还是闺秀之时。,忆昔在家为女时
只剩满庭荆棘您才会知趣。,荆棘满庭君始知
虽然芳洁污垢混杂一起。,芳与泽其杂糅兮
草木感知季节。,岁物忽如此
成群的鸡正在乱叫，客人来时，鸡又争又斗。,群鸡正乱叫，客至鸡斗争。
庭院里霜满地，月亮已过了小楼。,霜满中庭月满楼
仙女轻盈采桂花，纤手娴熟歌声宛转响佩缨。,仙妾采香垂佩缨
你的消息还远在海云边。,消息海云端
我不嫌弃居所破败漏雨。,不嫌屋漏无乾处
凌晨鸡呜时人当出行。,鸡鸣人当行
遥远的海上看到隐隐约约的青山。,海上见青山
千万不要学小儿女离别时悲悲凄凄。,慎勿却效儿女悲
你青春年少外任补官在父兄之处。,妙年出补父兄处
惟有这开不厌的月季花。,惟有此花开不厌
因读来诗转添了自己的哀愁。,转添愁伴客
耳中是动荡的江声，暗然愁绪。,岳色江声暗结愁
青云发髻在头上扎起。,青云教绾头上髻
吐蕃族至今牧马只敢远望。,至今窥牧马
鸟啼花落斯人归于何处。,鸟啼花落人何在
寻得芳菲不觉被美酒陶醉。,寻芳不觉醉流霞
应该为当时伍子胥预言而伤怀。,须为当时一怆怀
你既然沾受了主人的稻粱恩。,稻粱沾汝在
身虽无彩凤双翅飞到一处。,身无彩凤双飞翼
想想历史上张良谋刺秦王和诸葛亮鞠躬尽瘁的故事。,子房本为韩仇出
窗外修竹在静谧的秋夜中窣窣地发出轻响。,窗竹夜鸣秋
如果有厚厚的暖和的衣服可以抵御这异地的寒冷，即使耗费掉万两黄金，又怎会吝惜呢？,不惜黄金买衣服
天下纷纷又历遭多次似秦末之战祸。,天下纷纷经几秦
将军不作战白白地来到边疆。,将军不战空临边
明日就要成为断根的飘蓬一般匆匆离去了。,明朝应作断蓬飞
辽东将军乘醉起舞不肯罢休。,将军醉舞不肯休
山崖从人的脸旁突兀而起。,山从人面起
仪容举止都要符合潮流。,容止顺其猷
在这国家残破、秋江清冷、身世凄苦、暮年潦倒的情况下，昔日在长安的生活常常呈现在怀想之中。,鱼龙寂寞秋江冷，故国平居有所思。
纷繁的花朵渐渐开放使人眼花缭乱。,乱花渐欲迷人眼
高妙的文才，天庭尽知。,高才掞天庭
他一来到这里。,此地一垂顾
后来带着宝剑的刺客都被吸引入住妓院。,俱邀侠客芙蓉剑
出水的荷花正朝着采莲女的脸庞开放。,芙蓉向脸两边开
又如贵戚梁冀在府第楼阁中到处涂画云气神仙。,将军楼阁画神仙
茕茕孓立、形影相吊，我是那样孤单。,君怜垂翅客
去止息胡人的干戈。,便拟静胡尘
书信到时放能舒展眉头。,书到一开眉
突然皓首攻文。,白首徒攻文
青紫官服虽然加在他们身上。,青紫虽被体
鸣马向西方疾驰。,鸣驺忽西驰
定然是随风来到我身旁。,随风应已到长安
西安虽然只有三千里的距离。,帝乡三千里
苍苍茫茫弥漫关中。,苍然满关中
风声飕飕穿过石林。,石林何飕飗
那些人当时不识得可以高耸入云的树木，直到它高耸入云，人们才说它高。,时人不识凌云木，直待凌云始道高。
白鹭排成行迎着春风飞上青天，队列整齐真优美。,一行白鹭上青天
苜蓿草将随着汗血马传入。,苜蓿随天马
众神飘忽在有无之间，阴阳之间。,神兮长在有无间
我如今也在乘船浮游大海。,余亦浮于海
何时才能天下太平，使人一消愁颜，重见天光啊？,何日王道平，开颜睹天光？
谁肯为无辜受害的平民辩解呢。,孰肯辨无辜
明月悬空，依稀看得江上渔船点点。,月出钓船稀
回乡的心情和离别的愁绪使人茫然若失。,归心别意两茫然
这匹马不像是人间的凡马。,此马非凡马
伙伴们在暮晚时分仍要移棹出发，不愿归返。,仙侣同舟晚更移
岂容独处，无人欣赏。,安能守孤根
挽起罗裙的浣纱女正在水边忙碌。,浣女结罗裳
钟山宛如巨龙盘旋逶迤而来，山上树木葱茏。,钟山龙盘走势来
终南山下有我的茅屋。,终南有茅屋
乘风破浪扬帆向洞庭。,风波下洞庭
王侯们的责备定当服从。,侯门辞必服
归来之时他把宝剑挂在徐君墓头之树。,归来挂坟松
正惊讶您来得踟蹰。,始讶来踟蹰
只希望能直接消灭敌国，报答国家对我的恩情。,直斩楼兰报国恩
我与你是飘泊的人。,与尔共飘飖
贫寒的居室像农家房舍。,贫居类村坞
白雪也嫌春色来得太晚了。,白雪却嫌春色晚
虽然正是强仕之年，可是剩下的日子已经像垂垂的夕阳那样了。,飞腾暮景斜
计时的漏壶在长夜里响起“丁丁”的滴水声，天幕上轻云在缓慢地移动。,丁丁漏水夜何长
但是只有柴车寂寞地出入在斜阳下。,残阳寂寞出樵车
嘉陵江的景色，含烟带月。,千里嘉陵江水色
周游列国，究竟想要做成什么呢？,栖栖一代中
那清越的歌声令白云停遏。,清唱云不去
楚王放逐了忠臣屈大夫。,楚王放却屈大夫
眼前虽然有盛宴美酒，但欢饮不畅，没有举杯的心情。,含情欲谁待
壮士之躯埋闭在幽深墓道。,壮躯闭幽隧
唯一的遗憾便是这清澄的美酒太少，不能盛满大缸。,唯恨醇醪不满缸
那个面白如玉的是谁家的少年郎。,白玉谁家郎
听了我的大言皆冷笑不已。,闻余大言皆冷笑
我独自徘徊在花园里僻静的小路上。,小园幽径独徘徊
杨先生您又要去那里采集仙草。,尔去掇仙草
什么时候再把我招入皇宫，问我天下大计，让我能够施展才华呢？,何时入宣室，更问洛阳才。
漂亮的女孩大多有不幸的命运，不必怨天尤人，原应自己叹息！,红颜胜人多薄命，莫怨东风当自嗟。
凭什么相信老板的话是真？,何用知其真
扬帆起航小舟前进。,挂席移轻舟
榴头没有池骋干里的骏马。,枥中骏马空
沅江湘江长流不尽。,沅湘流不尽
痴心儿女，你们为什么要苦苦地挽留春天？,痴心儿女挽留春
只留父老在哽咽哭泣。,父老空哽咽
曾经追逐东风，犹如舞女在宴席上翩翩起舞。,曾逐东风拂舞筵
铡草喂食无空闲。,锉秣不告疲
抬头聆听各人吟诵金玉诗章。,仰聆金玉章
天公和玉女玩投壶的游戏，每中一次即大笑，也笑了千亿次了。,天公见玉女，大笑亿千场。
以往花费许多力量也不能推动它。,向来枉费推移力
马儿也为惜别声声嘶鸣。,萧萧班马鸣
山谷瀑布凝结失声，如白虹悬半空。,山瀑无声玉虹悬
风林树叶簌簌作响，一痕纤月坠落西山。,林风纤月落
杏花也在含情相望，羞红的脸上又有几分彷徨。,杏花未肯无情思
一阵凉风吹来，更觉自己报国无门。,萧萧北风劲
过了明天呵陇上的烟雾就隔断了相互的思念。,明日相思隔陇烟
谁说这群小鸟儿的生命微不足道。,谁道群生性命微
而在这暮春时节里虽然农人家的话快要落尽了。,知是人家花落尽
苑里的万物都生出光辉。,苑中万物生颜色
不料我这书生双耳。,不意书生耳
飞行于那浮云之间。,直出浮云间
湖上定能多写新诗。,湖上多新诗
春天的气味还和往年一样。,还似往年春气味
屈原最终抱石自沉汨罗江中。,屈原终投湘水滨
水面上，荷叶亭亭，相簇相拥。,多少绿荷相倚恨
有乘着朱轮金鞍的贵宾经过。,金鞍曜朱轮
官兵捕快，丧失警惕。,徼巡司隶眠如羊
苍鹰饥饿只得啄泥而食。,苍鹰饥啄泥
谁都可以看出春天的面貌，春风吹得百花开放。,等闲识得东风面
鸟儿从我山中小屋的屋檐上飞过。,鸟向檐上飞
长堤弯弯曲曲，堤内水徘徊，酒舍旗亭一家挨一家地排开。,长堤缭绕水徘徊，酒舍旗亭次第开。
在这萧索的秋天，心上的人儿远去京城。,玉京人去秋萧索
梅花虽有些妒忌白雪，但在洁白无瑕上，姑且还可以让雪与自己相比。,妒雪聊相比
我们酒筵设在画楼西畔、桂堂之东。,画楼西畔桂堂东
乡间小路通向桑麻的地方。,野径入桑麻
从早到晚整天采桑多苦辛。,晓夕采桑多苦辛
风尘漠漠不辨颜色。,不辨风尘色
只有李白诗歌才能题写。,惟有李白诗能说
就知道快到渚宫城了。,应到渚宫城
覆盖在马鞍上的红褐色罗帕，喷香崭新。,香幞赭罗新
今年二女已托人作媒。,今年次女已行媒
不过吴主孙皓，打着黄旗北去洛阳，竟成俘虏，这分明是凶兆，可见连铁索横江都不牢固！,黄旗入洛竟何祥，铁锁横江未为固。
蓝田红日和暖，可看到良玉生烟。,蓝田日暖玉生烟
他腰悬相印，统兵上战场，天子的军旗在寒风中飘扬。,腰悬相印作都统，阴风惨澹天王旗。
遥遥地忏悔在红尘中的昏聩。,超遥谢尘昏
您勤于训练士卒，队伍在训练中日益精锐。,练兵日精锐
反倒是主和负国的奸臣一直掌权。,负国奸臣主议和
我离开家已经几个夜晚了。,离家今几宿
刚刚雨过天晴。,初晴山院里
谁能说天理公道无欺人。,孰云网恢恢
秋雨连绵晦暗了平陆。,秋霖晦平陆
清冷的夜晚，一轮皎洁的月亮挂在天空。,昭昭素明月
池塘中的这只鹤是鹤中稀有的品种。,池中此鹤鹤中稀
虽然已经从军入幕也只是徒劳无为，生活是这般无聊，我只有独自登上高城。,有客虚投笔，无憀独上城。
三秦之地护卫着巍巍长安。,城阙辅三秦
止住恨啊不再怨，要坚强，自把苦水咽。,惩违改忿兮，抑心而自强。
今早为散发药性而漫步池塘边。,朝来行药向秋池
长信宫中惟有秋月尚明。,长信宫中秋月明
汉军的五丈大旗已一举撞破门环。,大旗五丈撞双环
都把旧的桃符取下换上新的桃符。,总把新桃换旧符
我的心绪却难以一一发泄。,此心难具论
香炉峰在阳光的照射下生起紫色烟霞。,日照香炉生紫烟
秋季到来天凉不能再穿着。,秋来不堪著
收割遗下的颗粒就留给乌雀吧。,遗穗及乌雀
想当初，春秋战国的年代。,王风委蔓草
何九又客住郴州郡城。,客有住桂阳
当你想起我之时。,前途倘相思
蒸腾弥漫半掩了交河戍。,氛氲半掩交河戍
现在的月却曾经照过古人。,今月曾经照古人
还要教妻子不急于从陌上归家。,犹教缓缓妾还家
幽闭在永巷中哀怨的宫妃，长年累月地泪湿绮罗。,永巷长年怨罗绮
花儿在空中仿佛随着美人吟唱的曲子纷纷飘落，花落了。,将飞更作回风舞
颜回年少鬓白，是因为呕心沥血吗？,颜回廿九鬓毛斑
无边的暮烟在升腾，凄清的单于之曲在暮烟中回响，扶苏城上弯月如钩。,一曲单于暮烽起，扶苏城上月如钩。
被风吹拂的海女及侍女，响起了叮铃的佩环。,丁丁海女弄金环
又想起孔明的宏伟政纲。,尚想卧龙图
我是等待加罚没有实职的官吏，接到随行的简书，反而惭愧阿附。,俟罪非真吏，翻惭奉简书。
沉郁烦闷我心如醉。,沉忧心若醉
美人们说话带着醉意，花园中轻烟缭绕。,美人醉语园中烟
年年都有送迎辽国使臣的事情。,送迎蕃使年年事
富贵与神仙两者皆会错肩而过。,蹉跎成两失
叛乱一起帝王带着贵妃仓皇出逃。,翠华西拂蜀云飞
三更醉后卧在军帐之中。,三更醉后军中寝
